ID	DOCULECT	CONCEPT	TRANSCRIPTION
47659	TaungthaWethet-T-1	I	tʃe
47660	TaungthaThanpuya-T-2	I	tʃe
47661	TaungthaKyarOoYin-T-3	I	tʃe
47662	TaungthaYeShin-T-4	I	tʃe
47663	MaraNgaphaipi-T-6	I	ke.mɑ
47664	MaraLailenpi-T-5	I	kɑ
47665	ThaiphumRengkheng-T-7	I	kɑi
47666	BawmBahungTaung-T-8	I	ke.mɑ
47667	AshoKokanTan-A-1	I	tʃe
47668	AshoPadekyawt-A-2	I	tʃe
47669	AshoPadar-A-3	I	tʃe
47670	AshoSalu-A-4	I	ke
47671	AshoTarye-A-5	I	tʃe
47672	AshoKankawTaung-A-6	I	tʃe
47673	AshoJatetaw-A-7	I	tʃe
47674	AshoShinsawPyin-A-8	I	tʃe
47675	AshoKhamaungShaeTaing-A-9	I	tʃe
47676	AshoSaryeKwin-A-10	I	tʃe
47677	AshoLinde-A-11	I	ke
47678	AshoTayPhyu-A-13	I	tʃe
47679	TaungthaMie-U-1	I	tʃe
47680	UppuBuddhagarma-U-2	I	tʃe
47681	UppuKhaingzi-U-3	I	tʃe
47682	UppuChinLetmon-U-4	I	tʃe
47683	UppuKyinDwe-U-5	I	tʃe
47684	UppuYan-U-6	I	tʃe
47685	UppuNatkyi-U-7	I	tʃe
47686	MayinnOwnwa-U-9	I	tʃe
47687	LonpawKhoimalaung-U-9	I	tʃe
47688	MinkyaChi-U-10	I	tʃe
47689	DoituHetsawlay-U-11	I	ke
47690	LaituKhuasung-U-12	I	ke
47691	LaituZaingchaung-U-13	I	ki
47692	LaituKruChaung-U-14	I	ki
47693	EkaiDaletYwaHaung-D-1	I	kɛ
47694	KhulaiAyeChaungKwanwa-D-5	I	kɛ
47695	DaituNyaungChaungYwa-D-4	I	kɛ
47696	KhamawLakeKone-D-2	I	kɛ
47697	SaingbongAyoTaung-D-3	I	kɛ
47698	SaingbongAnnChaungYonChaung-A	I	kje
